Sample_nameITS,Sample_name,Sample_nameVER,Experiment,Sample_or_control,Incubation,Soil,Treatment
Dung1_1_S221,Dung1_1_S221_L001,1_1,dunglabsamples,sample,anaerobic,madras,untreated
Dung1_2_S222,Dung1_2_S222_L001,1_2,dunglabsamples,sample,anaerobic,madras,untreated
Dung1_3_S223,Dung1_3_S223_L001,1_3,dunglabsamples,sample,anaerobic,madras,untreated
Dung2_1_S224,Dung2_1_S224_L001,2_1,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
Dung2_2_S225,Dung2_2_S225_L001,2_2,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
Dung2_3_S226,Dung2_3_S226_L001,2_3,dunglabsamples,sample,anaerobic,madras,DADS_1gal_A
Dung3_1_S227,Dung3_1_S227_L001,3_1,dunglabsamples,sample,anaerobic,tulelake,untreated
Dung3_2_S228,Dung3_2_S228_L001,3_2,dunglabsamples,sample,anaerobic,tulelake,untreated
Dung3_3_S229,Dung3_3_S229_L001,3_3,dunglabsamples,sample,anaerobic,tulelake,untreated
Dung4_1_S230,Dung4_1_S230_L001,4_1,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
Dung4_2_S231,Dung4_2_S231_L001,4_2,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
Dung4_3_S232,Dung4_3_S232_L001,4_3,dunglabsamples,sample,anaerobic,tulelake,DADS_1gal_A
Dung5_1_S233,Dung5_1_S233_L001,5_1,dunglabsamples,sample,aerobic,madras,untreated
Dung5_2_S234,Dung5_2_S234_L001,5_2,dunglabsamples,sample,aerobic,madras,untreated
Dung5_3_S235,Dung5_3_S235_L001,5_3,dunglabsamples,sample,aerobic,madras,untreated
Dung6_1_S236,Dung6_1_S236_L001,6_1,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
Dung6_2_S237,Dung6_2_S237_L001,6_2,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
Dung6_3_S238,Dung6_3_S238_L001,6_3,dunglabsamples,sample,aerobic,madras,DADS_1gal_A
Dung7_1_S239,Dung7_1_S239_L001,7_1,dunglabsamples,sample,aerobic,tulelake,untreated
Dung7_2_S240,Dung7_2_S240_L001,7_2,dunglabsamples,sample,aerobic,tulelake,untreated
Dung7_3_S241,Dung7_3_S241_L001,7_3,dunglabsamples,sample,aerobic,tulelake,untreated
Dung8_1_S242,Dung8_1_S242_L001,8_1,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
Dung8_2_S243,Dung8_2_S243_L001,8_2,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A
Dung8_3_S244,Dung8_3_S244_L001,8_3,dunglabsamples,sample,aerobic,tulelake,DADS_1gal_A