"ASV","P_Value","Adjusted_P_Value","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV2752",0.000124779577494758,0.00115601713752077,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetales_fam_Incertae_sedis","Spizellomycetales_gen_Incertae_sedis",NA,"100","100","100","100","100","100","100"
"ASV2753",0.000381907149960375,0.00295437154009704,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Myxotrichum",NA,"100","100","99","99","99","62","52"
"ASV2823",0.00106895119479056,0.00663773670931015,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_liliputianus","100","100","100","100","100","100","72"
"ASV2876",3.67238278779998e-05,0.000424446856474987,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Ascotricha",NA,"100","100","100","100","98","98","88"
"ASV2920",3.72384233201691e-05,0.000424446856474987,"Fungi","Chytridiomycota",NA,NA,NA,NA,NA,"61","60","55","55","55","55","55"
"ASV2927",0.00108047350717373,0.00663773670931015,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Spiromastix",NA,"100","100","100","100","96","96","96"
"ASV2952",0.00705410240068292,0.0308029138163154,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"100","100","100","100","23","23","23"
"ASV2953",0.00285558548609658,0.0141697613135853,"Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae",NA,NA,"100","100","92","89","88","19","13"
"ASV296",1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia_albida","100","100","100","100","100","100","95"
"ASV2969",0.00023114299806897,0.00208170772126202,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"100","100","100","100","51","51","51"
"ASV3036",3.74095242792498e-05,0.000424446856474987,"Fungi",NA,NA,NA,NA,NA,NA,"63","51","51","51","51","51","51"
"ASV3037",0.00012215894146634,0.00115601713752077,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Polyporus","Polyporus_austroandinus","100","100","100","100","100","98","68"
"ASV3066",0.00703269694057478,0.0308029138163154,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces",NA,"100","100","100","100","100","100","100"
"ASV3081",0.00705410240068292,0.0308029138163154,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_fatshederae","100","100","100","100","100","100","99"
"ASV3199",0.00705410240068292,0.0308029138163154,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_amoeboidea","100","100","100","100","100","100","100"
"ASV33",2.21880690315204e-05,0.000406412545503824,"Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus",NA,"100","100","87","87","87","75","48"
"ASV331",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"100","100","66","65","59","47","47"
"ASV3326",0.00705410240068292,0.0308029138163154,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces_marquandii","100","100","100","100","100","100","100"
"ASV3370",0.00285558548609658,0.0141697613135853,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Pringsheimia",NA,"100","100","100","66","66","66","66"
"ASV3433",0.000376009785045464,0.00295437154009704,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA,"100","100","100","100","96","72","71"
"ASV351",1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_fuscescens","100","100","100","100","100","100","98"
"ASV352",1.0217071642797e-05,0.000240219275997365,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_minutissima","100","100","100","100","100","100","100"
"ASV370",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema",NA,"100","100","100","100","100","69","69"
"ASV3722",0.0028462183361433,0.0141697613135853,"Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium_psychroaquaticum","100","100","100","100","100","100","82"
"ASV3768",0.00107278283195287,0.00663773670931015,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA,"100","100","100","100","100","100","32"
"ASV3873",0.00107662360000401,0.00663773670931015,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae",NA,NA,"100","100","100","100","100","50","50"
"ASV3892",0.0028462183361433,0.0141697613135853,"Fungi","Basidiomycota","Classiculomycetes","Classiculales","Classiculales_fam_Incertae_sedis","Classiculales_gen_Incertae_sedis",NA,"100","100","100","100","100","100","100"
"ASV3970",0.00280893593820956,0.0141697613135853,"Fungi","Chytridiomycota",NA,NA,NA,NA,NA,"66","61","59","59","59","59","59"
"ASV4029",0.00106512868026907,0.00663773670931015,"Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophoraceae_gen_Incertae_sedis",NA,"100","100","100","100","74","74","74"
"ASV4057",0.0028462183361433,0.0141697613135853,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",NA,"100","100","100","100","100","89","56"
"ASV406",0.00705410240068292,0.0308029138163154,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas",NA,"100","100","100","100","94","69","43"
"ASV4083",0.00703269694057478,0.0308029138163154,"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Kurtzmanomyces","Kurtzmanomyces_tardus","100","100","100","100","100","100","96"
"ASV4162",0.00108433256167357,0.00663773670931015,"Fungi","Chytridiomycota",NA,NA,NA,NA,NA,"79","77","58","58","58","58","58"
"ASV431",0.000362135028704067,0.00295437154009704,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea","100","100","100","100","100","100","100"
"ASV44",4.95533541703955e-05,0.000550126220027272,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae",NA,NA,"100","100","100","100","100","58","58"
"ASV45",0.00182977609279938,0.0109954434934275,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA,"100","100","100","100","100","100","46"
"ASV452",0.00227280467095234,0.0134115951303945,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina","100","100","100","100","100","100","100"
"ASV458",1.0217071642797e-05,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia",NA,"100","100","100","100","100","100","100"
"ASV465",0.00705410240068292,0.0308029138163154,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","77","71"
"ASV479",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia_tsunedae","100","100","100","100","100","100","78"
"ASV4872",0.00703269694057478,0.0308029138163154,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_sake","100","100","100","100","99","99","99"
"ASV492",1.0217071642797e-05,0.000240219275997365,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","Mrakia_blollopis","100","100","100","100","100","100","90"
"ASV496",3.75846071382431e-05,0.000424446856474987,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA,"100","100","100","100","100","100","46"
"ASV497",3.75846071382431e-05,0.000424446856474987,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"100","100","100","100","100","71","30"
"ASV5",7.39602301050679e-07,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"100","100","100","100","100","100","59"
"ASV505",1.0217071642797e-05,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"100","100","100","100","100","8","8"
"ASV514",3.75846071382431e-05,0.000424446856474987,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces_marquandii","100","100","100","100","100","99","99"
"ASV530",1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Hyaloriaceae_gen_Incertae_sedis",NA,"100","100","100","100","100","100","100"
"ASV550",0.000125308727883931,0.00115601713752077,"Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"100","100","82","81","37","13","13"
"ASV558",0.00252582530586469,0.0141697613135853,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA,"100","100","100","100","100","100","36"
"ASV561",1.8306736618623e-05,0.000363360984399941,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_prunicola","100","100","100","100","100","100","72"
"ASV584",0.00108433256167357,0.00663773670931015,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_persicinum","100","100","100","100","100","100","100"
"ASV594",1.82242668972004e-05,0.000363360984399941,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,"100","100","100","100","95","39","39"
"ASV60",1.02689156151545e-05,0.000240219275997365,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina","100","100","100","100","100","100","100"
"ASV602",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","Chloridium_aseptatum","100","100","100","100","100","99","99"
"ASV606",3.51787478907003e-05,0.000424446856474987,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"100","100","100","81","81","81","55"
"ASV617",0.000125308727883931,0.00115601713752077,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Gallinipes",NA,"100","100","99","99","99","97","97"
"ASV640",1.41913958889126e-05,0.000299850461523799,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Edenia","Edenia_gomezpompae","100","100","100","100","70","69","69"
"ASV657",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,"100","100","100","100","85","56","28"
"ASV672",0.000383391726577478,0.00295437154009704,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",NA,"100","100","99","99","66","66","43"
"ASV676",0.00108047350717373,0.00663773670931015,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride","100","100","100","100","100","100","62"
"ASV678",1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Ustilaginomycetes","Urocystidales","Urocystidaceae","Urocystis","Urocystis_magica","100","100","100","100","100","100","100"
"ASV694",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_ledniceana","100","100","100","100","100","99","87"
"ASV702",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_crusticola","100","100","100","100","100","100","100"
"ASV718",0.000232007120079584,0.00208170772126202,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"100","100","98","98","56","27","13"
"ASV720",1.02689156151545e-05,0.000240219275997365,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis",NA,"100","100","100","100","100","100","100"
"ASV770",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea","Glarea_lozoyensis","100","100","100","100","100","96","91"
"ASV78",1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans","100","100","100","100","100","100","100"
"ASV784",0.000124779577494758,0.00115601713752077,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Stromatinia","Stromatinia_cepivora","100","100","100","100","99","67","67"
"ASV785",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"100","100","76","64","39","11","11"
"ASV805",0.00200043455006343,0.0119116784571959,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",NA,"100","100","100","100","99","79","75"
"ASV852",0.00285558548609658,0.0141697613135853,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Hyaloriaceae_gen_Incertae_sedis",NA,"100","100","100","100","100","98","98"
"ASV873",0.000125308727883931,0.00115601713752077,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces",NA,"100","100","96","95","95","95","93"
"ASV880",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophoraceae_gen_Incertae_sedis",NA,"100","100","100","100","100","99","99"
"ASV887",2.90090275268226e-05,0.000424446856474987,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis",NA,"89","88","88","88","88","88","88"
"ASV890",1.41913958889126e-05,0.000299850461523799,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora",NA,"100","100","100","99","98","82","49"
"ASV911",0.00285558548609658,0.0141697613135853,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella","Trichosporiella_multisporum","100","100","100","100","94","94","94"
"ASV934",3.75846071382431e-05,0.000424446856474987,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Furcasterigmium","Furcasterigmium_furcatum","100","100","100","100","100","100","100"
"ASV97",3.64420272924621e-05,0.000424446856474987,"Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"100","100","100","100","58","58","42"
